17989,3
18026,1
18053,7
18055,4
18056,1
18064,2
18067,1
18068,4
18070,1
18073,1
18076,3
18086,5
18087,2
18095,1
18106,1
18114,1
18118,1
18119,1
18130,1
18134,5
18136,3
18137,1
18139,3
18140,3
18142,3
18144,4
18145,3
18153,1
18164,2
18175,1
18179,1
18194,1
18202,2
18204,3
18207,4
18210,1
18211,2
18219,1
18220,4
18246,2
18248,3
18250,1
18252,4
18253,3
18263,1
18264,4
18274,3
18275,2
18276,4
18277,3
18278,1
18281,1
18286,3
18294,1
18295,2
18296,1
18298,6
18314,1
18319,2
18331,1
18334,6
18349,2
18356,1
18361,6
18364,2
18365,2
18372,2
18376,1
18379,2
18380,2
18382,2
18383,2
18396,1
18400,1
18406,3
18412,1
18425,1
18434,1
18436,2
18437,3
18445,1
18449,1
18450,2
18454,1
18455,2
18456,1
18468,4
18474,1
18475,5
18476,5
18481,4
18487,8
18491,8
18501,3
18508,3
18521,1
18534,2
18541,2
18545,2
18548,3
18555,7
18562,1
18564,1
18565,1
18568,2
18574,1
18575,2
18582,1
18589,3
18592,4
18593,2
18601,4
18602,3
18611,1
18613,1
18615,1
18629,3
18630,1
18631,2
18632,4
18633,1
18650,1
18672,1
18673,1
18678,5
18679,5
18692,2
18702,1
18703,3
18710,1
18711,1
18714,2
18716,1
18718,2
18723,3
18724,3
18725,1
18726,2
18731,2
18733,2
18734,1
18741,15
18743,3
18747,2
18748,1
18754,1
18761,1
18762,1
18764,1
18766,1
18768,1
18770,1
18777,4
18785,1
18787,4
18789,2
18790,4
18791,1
18792,1
18794,2
18795,1
18796,2
18797,2
18799,1
18803,9
18807,1
18809,3
18815,1
18816,1
18817,2
18818,1
18821,1
18823,1
18825,2
18832,1
18838,3
18839,1
18850,1
18852,1
18866,1
18869,1
18871,2
18873,1
18874,1
18875,6
18876,2
18878,1
18879,1
18880,1
18888,4
18890,1
18892,1
18893,1
18894,2
18895,1
18916,1
18918,1
18920,1
18922,2
18924,4
18930,1
18933,1
18956,1
18957,4
18958,4
18959,5
18963,3
18965,1
18966,7
18969,1
18970,1
18973,4
18974,1
18979,2
18980,2
18985,2
18993,2
18997,1
19012,1
19015,1
19017,3
19018,1
19020,6
19022,4
19024,7
19032,4
19033,4
19034,1
19039,2
19040,2
19041,1
19042,2
19043,6
19044,2
19046,3
19047,4
19053,11
19054,3
19059,6
19065,6
19076,8
19080,1
19083,1
19090,4
19093,7
19094,1
19095,2
19099,2
19102,2
19110,1
19120,2
19121,1
19126,3
19138,1
19168,1
19169,1
19170,1
19176,1
19198,5
19209,1
19210,2
19212,1
19215,2
19216,1
19218,4
19220,2
19221,1
19223,4
19224,1
19225,4
19228,1
19230,1
19240,1
19249,1
19251,4
19281,2
19284,1
19286,6
19290,2
19291,10
19294,1
19295,1
19304,3
19305,3
19312,1
19315,4
19323,3
19325,3
19330,1
19337,1
19342,1
19343,1
19344,5
19352,3
19355,1
19356,2
19358,2
19359,1
19360,1
19363,2
19366,1
19367,4
19368,1
19373,1
19374,5
19381,1
19386,2
19391,1
19392,1
19393,5
19394,4
19395,3
19397,4
19398,5
19399,1
19400,2
19401,1
19404,1
19406,4
19413,1
19414,3
19435,7
19441,4
19442,1
19448,2
19449,5
19450,1
19451,1
19453,1
19454,5
19456,2
19458,1
19474,1
19478,1
19479,6
19483,2
19484,2
19491,1
19492,5
19501,4
19504,1
19505,2
19506,2
19511,2
19512,1
19520,1
19521,1
19523,3
19526,2
19534,4
19535,6
19536,2
19539,5
19542,3
19547,1
19550,1
19552,1
19565,1
19566,5
19572,2
19574,1
19579,1
19585,7
19586,1
19599,2
19602,1
19609,4
19613,2
19622,1
19640,1
19641,8
19642,3
19645,5
19651,1
19652,1
19654,8
19655,4
19662,1
19671,1
19675,1
19680,1
19685,3
19697,5
19700,2
19717,1
19725,1
19732,1
19739,3
19742,1
19744,1
19747,3
19754,3
19755,2
19773,2
19778,1
19787,1
19788,1
19790,1
19800,5
19801,2
19803,1
19808,2
19811,3
19821,1
19822,8
19823,1
19829,3
19831,2
19832,1
19833,1
19859,1
19860,1
19873,1
19874,1
19877,1
19884,5
19889,2
19893,3
19900,5
19914,5
19916,3
19919,1
19920,2
19921,6
19924,1
19928,3
19937,5
19938,1
19939,1
19941,1
19942,4
19955,6
19956,2
19960,3
19963,1
19964,1
19980,2
19984,3
19992,2
19998,2
20002,1
20005,2
20034,6
20044,1
20047,2
20077,1
20081,1
20085,7
20100,1
20102,1
20105,1
20106,1
20122,1
20123,2
20128,4
20130,4
20131,1
20144,1
20150,2
20158,1
20163,1
20165,2
20181,6
20186,1
20197,1
20200,1
20202,1
20212,1
20221,5
20224,2
20229,3
20236,1
20237,1
20241,1
20243,2
20261,1
20270,2
20276,1
20277,1
20278,1
20281,2
20293,1
20305,1
20306,1
20308,1
20317,2
20339,1
20344,1
20345,1
20349,4
20354,1
20359,1
20366,4
20394,5
20395,3
20397,1
20400,1
20402,6
20452,3
20464,3
20488,1
20505,1
20521,2
20524,2
20565,1
20566,4
20600,4
20604,1
20607,1
20609,1
20615,3
20628,3
20639,3
20640,3
20641,2
20644,1
20645,1
20651,6
20655,1
20681,1
20683,1
20684,3
20686,4
20693,1
20697,1
20700,1
20701,1
20702,1
20703,1
20705,4
20710,2
20712,1
20715,1
20717,1
20732,1
20733,1
20734,1
20735,1
20738,2
20761,1
20762,3
20763,4
20764,4
20768,1
20769,3
20776,3
20777,7
20780,3
20799,1
20800,2
20801,3
20809,1
20810,3
20816,1
20820,1
20830,2
20838,1
20853,4
20855,1
20856,4
20857,4
20861,1
20862,1
20867,3
20873,1
20875,2
20890,1
20891,2
20892,1
20895,3
20899,2
20907,1
20949,1
20950,1
20951,1
20952,2
20953,1
20968,1
20987,5
20990,3
20992,1
20993,1
21000,1
21003,7
21005,1
21014,3
21016,7
21019,1
21039,2
21041,1
21043,2
21048,1
21053,2
21056,1
21086,2
21091,4
21108,1
21109,1
21110,1
21113,1
21114,2
21133,1
21138,5
21139,2
21158,1
21160,3
21162,4
21220,1
21227,1
21228,2
21243,1
21245,4
21248,1
21257,1
21273,3
21279,1
21284,2
21288,1
21289,1
21292,6
21294,4
21305,2
21322,1
21323,4
21326,1
21330,2
21331,3
21335,5
21341,3
21355,3
21356,2
21357,2
21358,4
21359,3
21360,4
21375,1
21376,1
21379,1
21381,1
21387,1
21406,1
